블라인드 스팟, +82 2-2076-2051, 서울 서울시 용산구 장문로 23 몬드리안 서울 이태원 1층 블라인드 스팟, 바, 5.0
플레이버즈, +82 2-6282-6730, 서울 서울특별시 서초구 신반포로 176 JW 메리어트 호텔 서울 2층, 아시아 요리, 5.0
구스토 타코, +82 2-338-8226, 서울 마포구 와우산로 41, 멕시코 요리, 4.5
지화자, +82 2-2269-5834, 서울 종로구 자하문로 125 종로구 청운동 48, 한국, 5.0
853, +82 70-8832-0853, 서울 종로구 인사동12길 16 Near By Samjigil, 바베큐, 4.5
헴라갓, +82 2-318-3335, 서울 중구 소공로 35 남산 롯데캐슬 아이리스 123호, 스웨덴, 4.5
더그리핀바, +82 2-2276-3344, 서울 종로구 청계천로 279 JW 메리어트 동대문 스퀘어 서울 11층, 바, 4.5
프리빌리지 바, +82 2-2076-2071, 서울 서울시 용산구 장문로 23 몬드리안 서울 이태원 RF층 프리빌리지 루프탑바, 바, 5.0
장생건강원, +82 70-7543-1077, 서울 강남구 강남대로124길 23, 이탈리아 요리, 5.0
최고집 홍대점, +82 2-333-8892, 서울 마포구 월드컵북로2길 25, 바베큐, 4.5
정식당, +82 2-517-4654, 서울 강남구 선릉로158길 11, 아시아 요리, 4.5
광화문이층집, +82 2-723-6692, 서울 종로구 삼봉로 95, 바베큐, 5.0
브라이 리퍼블릭, +82 70-8879-1967, 서울 용산구 이태원로14길 19, 아프리카 요리, 4.5
양국, +82 2-567-7060, 서울 강남구 논현로95길 15 평화빌딩 1층, 바베큐, 4.5
교촌치킨 동대문1호점, +82 2-2231-9337, 서울 종로구 종로 294 2층, 패스트푸드, 4.5
타볼로 24, +82 2-2276-3320, 서울 종로구 청계천로 279, 일본 요리, 4.5
무교동 북어국집, +82 2-777-3891, 서울 중구 을지로1길 38, 아시아 요리, 4.5
죠티인도레스토랑, +82 2-703-3535, 서울 마포구 신촌로20길 6 3 Floor, 인도 요리, 4.5
더 파크뷰, +82 2-2230-3374, 서울 서울특별시 중구 장충동2가 202 신라호텔 1F, 인터내셔널, 4.5
쟈니덤플링, +82 2-790-8830, 서울 용산구 보광로59길 5 Itaewon-dong, , 4.5
연남서식당, +82 2-716-2520, 서울 마포구 백범로2길 32, 바베큐, 4.5
브레라, +82 2-2236-0770, 서울 중구 다산로 41, 이탈리아 요리, 4.5
라이너스 바베큐, +82 2-790-2920, 서울 용산구 이태원로 136-13 Down the stairway next to McDonald's Itaewon, and straight back, 미국 요리, 4.5
브루클린 더버거조인트, +82 2-533-7180, 서울 서초구 동광로43길 51-13 1층, 미국 요리, 4.5
해도식당, +82 2-726-4253, 서울 중구 남대문로 81 롯데백화점 본점 13층, 해산물, 4.5
자매집, +82 2-2274-8344, 서울 종로구 종로4가 177, 아시아 요리, 4.5
명동닭한마리 본점, +82 2-2266-8249, 서울 종로구 종로40가길 14, 아시아 요리, 4.5
뉴델리, +82 10-8690-4915, 서울 강남구 논현로176길 28 신사동, 인도 요리, 5.0
홍대 닭갈비, +82 2-2245-5222, 서울 마포구 홍익로3길 32 2F, 아시아 요리, 4.5
육전식당 - 본점, +82 2-2253-6373, 서울 동대문구 난계로30길 16, 아시아 요리, 4.5
미가본, +82 2-752-0330, 서울 중구 명동길 56 kyerim-building 2F MIGABON, 아시아 요리, 4.5
라세느, +82 2-317-7171, 서울 중구 을지로 30 롯데호텔서울 본관 1층, 한국, 4.5
유닭스토리, , 서울 신촌로 105-5, , 5.0
진옥화할매원조닭한마리, +82 2-2275-9666, 서울 종로구 종로40가길 18, 아시아 요리, 4.0
모모카페 코트야드 서울 남대문, +82 2-2211-8222, 서울 중구 남대문로 9, 인터내셔널, 4.5
밍글스, +82 2-515-7306, 서울 강남구 청담동 도산대로 67 길 19, 아시아 요리, 4.5
바이킹스워프 롯데월드몰점, +82 1644-3210, 서울 송파구 올림픽로 300 롯데월드몰 4F, 미국 요리, 4.5
진미식당, +82 2-3211-4468, 서울 마포구 마포대로 186-6, 해산물, 4.5
단풍나무집 - 이태원점, +82 2-790-7977, 서울 용산구 이태원로27가길 26, 바베큐, 4.0
바토스 이태원점, +82 2-797-8226, 서울 용산구 이태원동 181-8, 멕시코 요리, 4.0
교촌치킨 홍대점, 3381300, 서울 마포구 서교동 362-15, 아시아 요리, 4.0
진 원조 보신 닭한마리 본점, +82 2-2272-2722, 서울 종로구 종로5가 265-18, 아시아 요리, 4.5
미쓰족발 - 서울 홍대 본점, +82 2-337-2111, 서울 마포구 어울마당로 123-1 1층, 아시아 요리, 4.5
이드 - 할랄 코리안 푸드, +82 70-8899-8210, 서울 용산구 우사단로10길 67, 아시아 요리, 4.5
예지식당, +82 2-777-1820, 서울 중구 명동1가 42-2, 아시아 요리, 4.5
토속촌삼계탕, +82 2-737-7444, 서울 종로구 자하문로5길 5, 아시아 요리, 4.0
오다리집 명동, +82 2-778-6767, 서울 중구 충무로1가 22-17, 아시아 요리, 4.5
원조 원할매 닭한마리, +82 2-2279-2078, 서울 종로구 종로40가길 25, 아시아 요리, 4.5
마칸 할랄 코리안 레스토랑, +82 2-6012-2231, 서울 용산구 우사단로10길 52, 아시아 요리, 4.5
만족오향족발 시청점, +82 2-753-4755, 서울 중구 서소문로 134-10, 한국, 4.5
신선설농탕 명동점, +82 2-777-4531, 서울 중구 명동길 56-1, 한국, 4.0
BLT 스테이크, +82 2-2276-3330, 서울 종로구 청계천로 279 JW 메리어트 동대문 스퀘어 서울, 미국 요리, 4.5
그랜드 키친, +82 2-559-7608, 서울 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스 1층, 인터내셔널, 4.5
아리아, +82 2-317-0357, 서울 중구 소공로 106 서울웨스틴조선호텔 1층, 아시아 요리, 4.5
아현동간장게장, +82 2-312-7530, 서울 마포구 굴레방로 13, 해산물, 4.5
콘지하우스 명동, +82 2-757-8460, 서울 중구 명동8가길 31, 아시아 요리, 4.0
인도로가는길 레스토랑, +82 2-738-7773, 서울 종로구 인사동5길 20 오원빌딩 2층, 인도 요리, 4.5
셰프팔레트, +82 2-3451-8271, 서울 강남구 봉은사로 120 르 메르디앙 서울 Lobby층, 중국 요리, 5.0
클레오, +82 2-2076-2050, 서울 서울시 용산구 장문로 23 몬드리안 서울 이태원 1층 클레오, 지중해 요리, 4.5
왕비집 명동 본점, +82 2-3789-1945, 서울 중구 충무로2가 63-3 2층, 한국, 4.0
WXYZ바, +82 2-2084-1021, 서울 중구 남대문로 56 알로프트 서울 명동 2층, 바, 5.0
빠르크, +82 2-792-2022, 서울 용산구 이태원로55가길 26-5, 아시아 요리, 4.5
미분당 신촌점, +82 2-3141-0807, 서울 서대문구 연세로5다길 35, , 4.5
아구랑 꽃게랑, +82 2-2268-5554, 서울 중구 장충동2가 24-31, , 4.5
새마을 식당 논현 본점, +82 2-544-3284, 서울 강남구 논현동 164-12, 바베큐, 4.0
팔색삼겹살 - 신촌본점, +82 2-719-4848, 서울 마포구 백범로 18, 바베큐, 4.0
신선설농탕 홍대점, +82 2-337-6400, 서울 마포구 양화로 136, 아시아 요리, 4.0
럼퍼스 룸, +82 2-2076-2052, 서울 서울시 용산구 장문로 23 몬드리안 서울 이태원 2층 럼퍼스룸, 바, 5.0
안동찜닭, +82 2-310-9174, 서울 Myeong-dong 2ga, 2-2, 아시아 요리, 4.0
랑빠스81, +82 70-7779-8181, 서울 마포구 동교로30길 17-1, 프랑스 요리, 5.0
류니끄, +82 2-546-9279, 서울 강남구 강남대로162길 40, 퓨전, 4.5
함흥면옥, +82 2-776-8430, 서울 중구 명동2가 26-1, 아시아 요리, 4.0
황생가칼국수, +82 2-739-6334, 서울 종로구 북촌로5길 78, 아시아 요리, 4.5
명동전주중앙회관, +82 2-776-3525, 서울 중구 명동8나길 19, 한국, 4.0
북촌손만두 인사본점, +82 2-732-1238, 서울 종로구 인사동길 42-5, 아시아 요리, 4.5
피스트, +82 2-2211-1710, 서울 구로구 경인로 662 쉐라톤 서울 디큐브 시티 호텔 41F, 인터내셔널, 4.5
페트라, +82 2-790-4433, 서울 용산구 녹사평대로40길 33, 지중해 요리, 4.5
단풍나무 집 삼청동점, +82 2-730-7461, 서울 종로구 삼청동 31-1, 바베큐, 4.0
모모야마, +82 2-317-7031, 서울 중구 을지로 30 롯데호텔서울 본관 38층, 일본 요리, 4.5
개성만두 궁, +82 2-733-9240, 서울 종로구 인사동10길 11-3, 아시아 요리, 4.5
공릉닭한마리, +82 2-2269-9969, 서울 종로구 종로40가길 20, 아시아 요리, 4.5
브루 3.15, +82 70-4148-3049, 서울 종로구 삼일대로 32가길 40, 바, 4.5
라세느, +82 4117811, 서울 송파구 올림픽로 240 롯데 호텔 월드 2층, 아시아 요리, 4.5
순희네 빈대떡, +82 2-2268-3344, 서울 종로5가 138-9번지, 아시아 요리, 4.0
피에르 가니에르 서울, +82 2-317-7181, 서울 중구 남대문로 81 롯데호텔 신관 35층, 프랑스 요리, 4.5
대도식당 - 왕십리본점, +82 2-2292-9772, 서울 성동구 무학로12길 3, 바베큐, 4.5
교대갈비집 - 시청점, +82 2-778-5582, 서울 중구 남대문로1길 31 2층, 한국, 5.0
프로 간장 게장 신사점, +82 2-543-4126, 서울 서초구 강남대로97길 9, 해산물, 4.0
가메골 손만두, +82 2-755-2569, 서울 중구 남창동 60-2, 패스트푸드, 4.0
죠티 레스토랑 충무로점, +82 2-2261-2912, 서울 중구 서애로 12-4 2층, 인도 요리, 4.5
엘피노323, +82 70-8987-6248, 서울 용산구 녹사평대로 220 2층, 멕시코 요리, 4.5
부자피자, +82 2-794-9474, 서울 용산구 이태원로55가길 28, 이탈리아 요리, 4.0
네키드윙즈, +82 70-4078-7411, 서울 용산구 녹사평대로 174-11, 미국 요리, 5.0
카페 공드리, +82 2-765-6358, 서울 종로구 계동2길 4, 바, 4.5
스파카 나폴리, +82 2-326-2323, 서울 마포구 양화로6길 28, 이탈리아 요리, 4.5
고궁 명동점, +82 2-776-3211, 서울 중구 충무로2가 12-14, 아시아 요리, 4.0
파크카페, +82 2-2090-8050, 서울 영등포구 여의대로 8 매리엇 이그제큐티브 아파트먼트 여의도파크센터, 미국 요리, 4.5
더 플라잉 팬 블루, +82 2-793-5285, 서울 용산구 이태원동 123-7, 카페, 4.0
꾸띠 자르당, +82 2-793-5072, 서울 용산구 보광로 120, 프랑스 요리, 4.5
키친485, +82 32-325-0485, 서울 양화로6길 67, , 4.5
먹쉬돈나 삼청동점, +82 2-723-8089, 서울 종로구 율곡로3길 74-7, 한국, 4.0
보칼리노, +82 2-6388-5500, 서울 서울 종로구 새문안로 97 포시즌스호텔 2층, 이탈리아 요리, 4.5
엔그릴, +82 2-3455-9297, 서울 용산동2가 1-3 N서울타워 전망존 5층 N 서울타워 7층, 프랑스 요리, 4.0
명동교자 분점, +82 2-776-3424, 서울 중구 명동10길 8-1 Myeongdong Kyoja #2, 아시아 요리, 4.0
유가네 닭갈비 명동1호점, +82 2-3789-3392, 서울 중구 명동10길 13, 아시아 요리, 4.0
오세계향, +82 2-735-7171, 서울 종로구 인사동12길 14-5, 한국, 4.5
서울서 둘째로 잘하는 집, +82 2-734-5302, 서울 종로구 삼청동 28-21, 아시아 요리, 4.5
스테이, 모던 레스토랑, +82 2-3213-1230, 서울 송파구 올림픽로 300 롯데월드타워 시그니엘 서울 81층, 프랑스 요리, 4.5
바른생갈비 - 종로묘동점, +82 2-6338-2341, 서울 종로구 돈화문로 53-1, 바베큐, 5.0
에베레스트 커리월드레스토랑, +82 2-743-8848, 서울 종로구 종로 305 2층, 인도 요리, 4.5
미즈컨테이너, +82 2-536-5786, 서울 서초구 서초대로73길 9 타임빌딩, 이탈리아 요리, 4.0
버터핑거 팬케이크 강남점, +82 2-532-5740, 서울 서초구 서초동 1317, 미국 요리, 4.0
더킹스, +82 2-2270-3121, 서울 중구 동호로17길 287 그랜드 앰배서더 서울 어소시에이티드 위드 풀만 호텔 로비층, 인터내셔널, 4.5
고봉 삼계탕, +82 2-756-2300, 서울 중구 명동7길 21, 아시아 요리, 4.0
느티나무 설렁탕, +82 2-2234-9713, 서울 중구 신당동 251-131, 아시아 요리, 4.0
을밀대, +82 2-717-1922, 서울 마포구 염리동 147-6, 아시아 요리, 4.5
씨태번, +82 2-778-0770, 서울 중구 명동8가길 52 Myeongdong Metro exit #10, 바, 4.5
도림, +82 2-317-7101, 서울 중구 을지로 30 롯데호텔서울 본관 37층, 중국 요리, 4.5
사우스사이드팔러, +82 2-749-9522, 서울 용산구 녹사평대로 218, 미국 요리, 4.5
손가네 닭한마리, +82 2-2234-9065, 서울 종로구 종로66가길 10, , 4.5
양미옥, +82 2-2275-8837, 서울 중구 을지로3가 161, 바베큐, 4.5
전통 다원, +82 2-730-6305, 서울 종로구 인사동10길 11-4 경인 미술관 내, 카페, 4.0
파올로 데 마리아, +82 2-599-9936, 서울 서울 종로구 부암동 208-71 1층, 이탈리아 요리, 4.5
테판, +82 2-799-8272, 서울 용산구 소월로 322 그랜드 하얏트 서울, 인터내셔널, 5.0
구르카 인도 레스토랑, +82 2-775-8860, 서울 중구 명동10길 16-1 지상 4층, 인도 요리, 4.5
서울 삼계탕, +82 2-755-6925, 서울 중구 남대문시장길 18-4, 한국, 4.5
원당감자탕 명동2호점, +82 2-757-7612, 서울 중구 명동8나길 35, 아시아 요리, 4.0
원조 쌈밥집 논현 본점, +82 2-548-7589, 서울 강남구 논현동 165-15, 아시아 요리, 4.0
스와니예, +82 2-3477-9386, 서울 서초구 반포대로39길 46 지하1층, 프랑스 요리, 4.5
제임스치즈등갈비 홍대역8번출구점, +82 2-324-3305, 서울 마포구 어울마당로 145-1, 바, 4.0
모보 바, +82 2-6282-6739, 서울 서울특별시 서초구 신반포로 176 JW 메리어트 호텔 서울 7층, , 5.0
더 키친 살바토레 쿠오모, +82 2-3447-0071, 서울 강남구 신사동 646-2, 이탈리아 요리, 4.0
우래옥 주교점, +82 2-2265-0151, 서울 중구 주교동 118-1, 바베큐, 4.0
한쿡 N서울타워점, +82 2-3455-9292, 서울 용산구 남산공원길 126, 아시아 요리, 4.0
탑 클라우드, +82 2-2230-3000, 서울 종로구 종로2가 6번지 종로타워 33층, 유럽 요리, 4.0
마포만두, +82 2-333-9842, 서울 마포구 서교동 393-1, 아시아 요리, 4.5
도쿄등심 선릉점, +82 2-552-2260, 서울 강남구 테헤란로 337 화남타워 14층, 아시아 요리, 4.5
이삭토스트 홍대점, +82 2-333-2492, 서울 마포구 와우산로 93, 미국 요리, 4.5
부다스벨리, +82 2-796-9330, 서울 용산구 녹사평대로40길 48, 아시아 요리, 4.0
츄리 츄리, +82 10-9058-1967, 서울 마포구 독막로15길 3-13, 이탈리아 요리, 4.5
황곱, +82 2-337-8292, 서울 어울마당로 149, , 5.0
어니언, +82 70-7816-2710, 서울 성동구 아차산로9길 8, 길거리 음식, 4.0
스쿨푸드 명동엠플라자점, +82 2-727-3377, 서울 중구 명동8길 27 엠플라자 5층, 아시아 요리, 4.0
모모 카페, +82 2-2638-3081, 서울 영등포구 영중로 15 코트야드 바이 메리어트 서울 타임즈 스퀘어 5층, 인터내셔널, 4.0
채근담, +82 2-555-9173, 서울 강남구 역삼로98길 23 B1f, 아시아 요리, 4.5
부촌육회, +82 2-2267-1831, 서울 종로구 종로 200-12, 한국, 4.5
브루클린 더 버거 조인트 삼성점, +82 2-555-7180, 서울 강남구 봉은사로84길 10, 미국 요리, 4.5
경복궁 사당점, +82 2-3486-7733, 서울 서초구 방배천로 11, 바베큐, 4.5
불고기 브라더스 서울 파이낸스 센터점, +82 2-775-7871, 서울 중구 태평로 1가 84번지 서울파이낸스센터 지하 2층 3호, 바베큐, 4.0
페닌슐라, +82 2-317-7121, 서울 중구 을지로 30 롯데호텔서울 신관 1층, 이탈리아 요리, 4.5
매니멀스모크하우스, +82 2-790-6788, 서울 용산구 녹사평대로40길 47, 미국 요리, 4.5
피자힐, +82 2-450-4699, 서울 워커힐로 177 Sheraton Grand walkerhill Seoul, 이탈리아 요리, 4.0
아리랑, +82 2-752-1342, 서울 중구 소공동 72-2 1층, 바베큐, 4.0
삼청동 수제비, +82 2-735-2965, 서울 종로구 삼청동 102, 아시아 요리, 4.0
초반식당, +82 2-2261-2005, 서울 중구 수표로6길 8-1, 바베큐, 5.0
브래서리 - 인터콘티넨탈 서울 코엑스점, +82 2-3452-2500, 서울 강남구 봉은사로 524 코엑스인터콘티넨탈서울, 퓨전, 4.5
큰기와집, +82 2-722-9024, 서울 종로구 북촌로5길 62, 한국, 4.0
길버트버거, +82 2-546-5453, 서울 강남구 도산대로15길 47, , 4.5
명월관, +82 2-450-4595, 서울 광진구 워커힐로 177 그랜드워커힐서울, 바베큐, 4.5
피자 필, +82 2-795-3283, 서울 종로구 청계천로 59 2F, 이탈리아 요리, 4.5
수연 산방, +82 2-764-1736, 서울 성북구 성북동 248, 카페, 4.5
타지 명동점, +82 2-776-0677, 서울 중구 명동1가 1-3 YWCA 빌딩, 인도 요리, 4.0
스쿨푸드 가로수길점, +82 2-511-7127, 서울 강남구 도산대로 139, 아시아 요리, 4.0
우리 가든, +82 2-3785-0744, 서울 중구 충무로2가 65-6, 바베큐, 4.0
오우가, +82 2-753-7533, 서울 중구 충무로2가 12-13 Jung-gu, 바베큐, 4.0
더 마고 그릴, +82 2-6282-6759, 서울 서울특별시 서초구 신반포로 176 강남구, JW 메리어트 호텔 서울 7층, 스테이크하우스, 4.5
하남돼지집, +82 2-557-4901, 서울 언주로93길 29, 바베큐, 4.5
멜팅샵, +82 2-544-4256, 서울 강남구 압구정로46길 55, 이탈리아 요리, 4.5
발우공양, +82 2-733-2081, 서울 종로구 우정국로 56 템플스테이 빌딩 5층, 아시아 요리, 4.0
강남면옥, +82 2-3446-5539, 서울 강남구 논현로152길 34, 아시아 요리, 4.0
코리아노스 키친, +82 2-547-4427, 서울 강남구 선릉로157길 25 B1, 멕시코 요리, 4.0
산촌, +82 2-735-0312, 서울 종로구 관훈동 14, 아시아 요리, 4.0
코너스톤, 파크 하얏트 서울, +82 2-2016-1220, 서울 강남구 테헤란로 606 파크 하얏트 서울 2층, 이탈리아 요리, 4.0
벽제 갈비, +82 2-392-8308, 서울 서대문구 창천동 13-20, 바베큐, 4.0
더 스퀘어, +82 2-531-6618, 서울 강남구 봉은사로 130 노보텔 앰배서더 서울 강남 2층, 인터내셔널, 4.5
제임스치즈등갈비 명동점, +82 2-318-0192, 서울 중구 명동10길 7-6, 바베큐, 4.0
마포 진짜 원조 최대포, +82 2-719-9292, 서울 마포구 공덕동 255-5, 바베큐, 4.0
원당감자탕 명동1호점, +82 2-776-7612, 서울 중구 명동9길 13, 아시아 요리, 4.0
CJ 푸드월드, +82 1577-9622, 서울 중구 쌍림동 292 CJ 제일제당 센터, 아시아 요리, 4.0
딘타이펑 명동중앙점, +82 2-3789-2778, 서울 중구 명동7길 13 증권빌딩 2층, 중국 요리, 3.5
37 그릴 & 바, +82 2-6137-7110, 서울 영등포구 국제금융로 10 콘래드서울 37층, 스테이크하우스, 4.0
권숙수, +82 2-542-6268, 서울 강남구 언주로170길 27 4층, 아시아 요리, 4.5
심야식당 시즌2 주바리 프로젝트, +82 2-3785-3385, 서울 용산구 이태원로20길 2-10 5층, 펍, 5.0
브릭 오븐 뉴욕 피자, +82 2-508-1325, 서울 강남구 역삼동 617-4 2층, 이탈리아 요리, 4.0
하동관, +82 2-776-5656, 서울 중구 명동9길 12, 아시아 요리, 3.5
택대리네 인사동마늘보쌈, +82 2-735-7885, 서울 종로구 인사동8길 12-5 인사동마늘보쌈, 아시아 요리, 5.0
원스인어블루문, +82 2-549-5490, 서울 강남구 청담동 85-1, 바, 4.5

