,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
0,백종원의인생설렁탕-경희대점,sj**님,"인생설렁탕/1(고기추가1(부채살（22g）)),간장마늘쫑무침/1",생각보다 배달이 빨라서 놀랐어요~!,5,5,5,5,19시간 전,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
1,백종원의인생설렁탕-경희대점,eu**님,든든 만두 SET（설렁탕＋만두2ea）/2(설렁탕 선택1(인생설렁탕)),맛있고 깔끔해요.추천,5,4,5,5,2일 전,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
2,백종원의인생설렁탕-경희대점,dm**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),매콤밀전 SET（설렁탕＋육쌈밀전）/1(설렁탕 선택1(인생설렁탕))",너무너무 맛있어요 화이팅,5,5,5,5,3일 전,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
3,백종원의인생설렁탕-경희대점,jh**님,"인생설렁탕/1(고기추가1(부채살（22g）),음료(사이다)),곱창전골（2인분）/1(음료(사이다))",잘먹었습니다!! 고기 추가 추천드려용 너무 마싯어욤,5,5,5,5,6일 전,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
4,백종원의인생설렁탕-경희대점,ss**님,든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),소금이 너무 부족해서 밍밍한 설렁탕이였고 문앞에두면 문자달라고 했는데 문자도 안와서 음식을 늦게 수령했어요...,1,1,1,1,2021년 2월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
5,백종원의인생설렁탕-경희대점,jt**님,"인생설렁탕/1(고기추가1(차돌양지（22g）)),인생설렁탕/1(고기추가1(차돌양지（22g）),사리3(소면사리)),비빔국수/1",전체적으로 맛있었어요. 단지 설렁탕은 싱거운데 소금이 없네요. 빠뜨리신건지 원래 안주시는건지... 비빔국수도 달달하니 맛있었어요. 설렁탕 국물이 좀더 많았으면 좋겠어요.,5,5,5,5,2021년 2월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
6,백종원의인생설렁탕-경희대점,cj**님,"인생한상차림/1(설렁탕 선택1(인생설렁탕),설렁탕 선택2(인생설렁탕),고기추가1(차돌양지（22g）),사리2(공기밥),사리3(소면사리))",맛있게 잘 먹었습니다~,5,5,5,5,2021년 2월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
7,백종원의인생설렁탕-경희대점,lj**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),인생설렁탕/1",맛과 더불어 배달이 신속하고 더욱 좋아요,5,4,5,5,2021년 2월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
8,백종원의인생설렁탕-경희대점,mi**님,"인생설렁탕/1(고기추가1(부채살（22g）,차돌양지（22g）),사이드(육쌈밀전))",감사합니다 맛있게 잘 먹었습니다,5,5,5,5,2021년 2월 21일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
9,백종원의인생설렁탕-경희대점,je**님,"화끈불스지 SET（설렁탕＋불스지）/1(설렁탕 선택1(인생설렁탕)),인생설렁탕/1",양도많고 김치나 특히나 맛있어요~,5,5,5,5,2021년 2월 21일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
10,백종원의인생설렁탕-경희대점,an**님,"화끈불스지 SET（설렁탕＋불스지）/1(설렁탕 선택1(인생설렁탕)),인생설렁탕/2,메추리알장조림/1",맛있게 잘 먹었습니다,5,5,5,5,2021년 2월 21일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
11,백종원의인생설렁탕-경희대점,kb**님,든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),첨시켰는데 넘 맛있게먹었네요 좀아쉬운건 그릇이작아서 밥 담은순간 넘칠거같아 용기큰걸로 옮겨담아먹었어요 양맛은좋아서 4점드려요,4,5,4,4,2021년 2월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
12,백종원의인생설렁탕-경희대점,tr**님,"인생설렁탕/2,시래기된장설렁탕/1",배달도 빠르고 맛있고 포장도 깔끔해요 잘 먹었습니다!!,5,5,5,5,2021년 2월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
13,백종원의인생설렁탕-경희대점,ek**님,스지설렁탕/1(사리2(공기밥)),스지가 정말 맛있었습니다,5,5,5,5,2021년 2월 19일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
