,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
0,왕가탕후루-성신여대점,ch**님,"체리 탕후루/1,딸기 탕후루/1,샤인머스켓 탕후루/1,오레오 머랭/1(사이즈 선택(중 사이즈)),솜사탕 머랭/1(사이즈 선택(중 사이즈))",탕후루 너무 맛있어요 당 땡길 때 최고👍,5,5,5,5,2021년 2월 28일,13:00 - 23:00,서울 성북구 동선동1가 26 1층 102호
1,왕가탕후루-성신여대점,rl**님,"딸기 탕후루/2,（BEST）머랭/1(메뉴 선택(프레첼 머랭 M))",제가 먹어본 탕후루 중에 최고👍 설탕이 치아에 안 달라붙고 살살 녹아요 ㅠㅠㅠ,5,5,5,5,2021년 1월 22일,13:00 - 23:00,서울 성북구 동선동1가 26 1층 102호
2,큰솥감자탕,na**님,"뚝배기 감자탕/1(사이즈 선택(특)),뚝배기 감자탕/1(사이즈 선택(보통))",뚝감자탕 기본이랑 특 이랑 따로따로 시켰는데 한곳에 같이 담겨져서 옴. 이렇게 올 줄 알음 따로따로 주문 안했음 자기네 마음데로 담아주는 어이없는 방식. 그리고 감자탕이 아니고 뼈해장국임. 감자1도 없음. 재난지원금카드 잘 안된다고 다른카드 달라고 하심. 그럴줄 알았음 내 요기요에서 바로결제해서 쿠폰 2천원 사용했을텐데... 짜증남 2인용인데 석박지 양적음 근데 맛없음,1,1,2,3,2020년 6월 5일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
3,큰솥감자탕,pu**님,"큰솥감자탕/1(사이즈 선택(小),조리 선택(조리)),계란말이/1(사이즈 선택(中))",맛있게 잘먹었어요!!!,5,5,5,5,2020년 5월 17일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
4,큰솥감자탕,손님,뚝배기 감자탕/2(사이즈 선택(보통)),가성비 좋고 맛있었어요,5,5,5,5,2020년 5월 9일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
5,큰솥감자탕,pj**님,뚝배기 감자탕/1(사이즈 선택(보통)),헉ㅠㅠ 엄청맛있었는데 만오천원 최소주문됐네요ㅠㅠ 슬프네요,5,5,5,5,2020년 4월 20일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
6,큰솥감자탕,jw**님,"큰솥감자탕/1(사이즈 선택(大),조리 선택(조리),추가선택(공기밥 추가))",국물을 좀 더 끓어서 오면 좋겠네요. 고기는 맛있는데 감자도 덜 익고 국물이 우러나지 않았어요! 배달은 아주 빨랐음 :),3,3,3,5,2020년 4월 18일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
7,큰솥감자탕,rw**님,"뚝배기 감자탕/1(사이즈 선택(보통)),콜라 355mL/1","배달도 빠르고, 맛있게 잘 먹었습니다~ 깻잎이 많이 들어가서 깻잎향이 좋네요! 깻잎 잘 못드시는분은 줄여달라고 말하시는게 좋을 것 같아요!",5,5,5,5,2020년 4월 18일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
8,큰솥감자탕,gb**님,"큰솥감자탕/1(사이즈 선택(小),조리 선택(조리))",맛있어요 국물도 진하고 가격대비 고기양도 많고 고기 정말 부드럽게 녹아요 다만 조리로 시켰는데 감자항 팽이버섯은 안익었어요 저야 술안주로 시켜서 어차피 끓이면서 먹을거라 상관없었지만 항상 이러면 좀 꺼려질듯 하네요 항상 따로 끓여먹을수도 없고.. 맛과 양은 최고입니다,5,5,5,5,2020년 4월 14일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
9,큰솥감자탕,dl**님,뚝배기 감자탕/1(사이즈 선택(보통)),진짜맛있내요 급하게 먹느라 사진이ㅠㅠ 다음에 또 시킬게요 맛있어요,5,5,5,5,2020년 4월 9일,10:00 - 22:00,서울 성북구 동선동1가 85-38 덕우빌딩 1층
10,생쿡쌀국수-성신여대점,jl**님,"해물 쌀국수/1,연불고기/1",잘먹었어요!! 감사합니다,4,4,4,4,2021년 1월 10일,10:30 - 01:00,서울 성북구 동선동1가 78
11,생쿡쌀국수-성신여대점,00**님,"소고기 쌀국수/2,짜조/1",급하게 먹느라 사진이 없네요...ㅎㅎ 면이 정말 탱글탱글하고 맛있었어요! 국물도 삼삼하고 깔끔하고~ 짜조도 순식간에 해치웠네요 또 시켜먹을게요~!,5,5,5,5,2020년 12월 6일,10:30 - 01:00,서울 성북구 동선동1가 78
12,생쿡쌀국수-성신여대점,sm**님,"매운 소고기 쌀국수/1(추가 선택(고기 추가)),사이다 500mL/1",맛이 좋고 맵도 딱 좋은 정도이고요,5,5,4,5,2020년 12월 2일,10:30 - 01:00,서울 성북구 동선동1가 78
13,생쿡쌀국수-성신여대점,ky**님,"소고기 쌀국수/1,분짜/1,짜조/1",진짜 처음 시켜먹어봤는데 너무 맛있고 서비스로 붕어빵을 엄청 많이 보내주셨어요!!! 정신차리고 보니까 다먹어버렸네여,5,5,5,5,2020년 11월 14일,10:30 - 01:00,서울 성북구 동선동1가 78
14,생쿡쌀국수-성신여대점,손님,"소고기 쌀국수/1(추가 선택(면 추가,고기 추가))",맛있어서 행복했어요,5,5,5,5,2020년 10월 10일,10:30 - 01:00,서울 성북구 동선동1가 78
15,생쿡쌀국수-성신여대점,jy**님,"소고기 쌀국수/2,볶음밥/1",음?? 다른 쌀국수 집이 면 따로 육수 따로 배달하는 이유를 이번에 알았어요. 면은 우동면인데 식감은... 우무가사리 씹지 않고 삼켜도 소화가 잘 됩니다. 한 친구는 먹지 않고 개한테 양보했고 다른 한 친구는 이렇게 말하곤 잠을 잤어요. 야 세개 중 두개가 개 밥인데 나머지 하나 사람밥이라고? 안 무!! 저만 개랑 겸상했어요.,1,2,5,1,2020년 10월 1일,10:30 - 01:00,서울 성북구 동선동1가 78
16,생쿡쌀국수-성신여대점,sh**님,"소고기 쌀국수/1,짜조/1",면과 국물 다 맛있어용! 잘 먹었습니다~,5,5,5,5,2020년 9월 25일,10:30 - 01:00,서울 성북구 동선동1가 78
17,생쿡쌀국수-성신여대점,sa**님,"소고기 쌀국수/1,비빔쌀냉면/1","비빔냉면은 좀 불었어요 근데 쌀국수 킬러로서, 쌀국수 국물맛있어요!!!!! 맹맛아니고 진합니당~~~ 양은 많아서 배터져요 서비스온 빵듀 잘먹었슴당",4,5,5,4,2020년 8월 11일,10:30 - 01:00,서울 성북구 동선동1가 78
18,생쿡쌀국수-성신여대점,손님,"소고기 쌀국수/1,꽃게롤/1",비오는 날 쌀국수가 특히 더 맛있네요 쌀국수와 꽃게롤 환상조합~~,5,5,5,5,2020년 8월 6일,10:30 - 01:00,서울 성북구 동선동1가 78
19,생쿡쌀국수-성신여대점,ab**님,"소고기 쌀국수/1(추가 선택(면 추가,고기 추가,숙주 추가,칠리소스))",면이 살면서 먹은 면중에 제일 탱글탱글 쫄깃하고 맛있었어요 ! 자주 시킬게요 ~,5,5,5,5,2020년 7월 25일,10:30 - 01:00,서울 성북구 동선동1가 78
20,생쿡쌀국수-성신여대점,eh**님,소고기 쌀국수/15(추가 선택(고기 추가)),와 고기추가했는데 고기도 2~3점 있고 단체주문이라고 너무하시네요 쌀국수가 굉장히 기름지고 굉장히 실망입니다,1,1,1,1,2020년 7월 24일,10:30 - 01:00,서울 성북구 동선동1가 78
21,생쿡쌀국수-성신여대점,li**님,"매운 소고기 쌀국수/1,짜조/1",goooooooood,5,5,5,5,2020년 7월 23일,10:30 - 01:00,서울 성북구 동선동1가 78
22,생쿡쌀국수-성신여대점,am**님,"락사/1,연불고기/1",맛있다!!!!!!!!!,5,5,5,5,2020년 7월 20일,10:30 - 01:00,서울 성북구 동선동1가 78
23,생쿡쌀국수-성신여대점,qw**님,"소고기 쌀국수/1,비빔쌀냉면/1(추가 선택(면 추가))",맛 양 배달 3박자 대박 특히 면이 다른데랑 차원이다릅니다 드셔보기면알듯,5,5,5,5,2020년 7월 17일,10:30 - 01:00,서울 성북구 동선동1가 78
24,생쿡쌀국수-성신여대점,jl**님,"해물 쌀국수/1(추가 선택(면 추가,고기 추가,칠리소스))",감사합니다 잘먹었어요~!!!!’,5,5,5,5,2020년 7월 13일,10:30 - 01:00,서울 성북구 동선동1가 78
25,생쿡쌀국수-성신여대점,lo**님,"소고기 쌀국수/1(추가 선택(숙주 추가)),연불고기/1",맛있어요~ 국물이 진해요~ 주심 호떡 서비스 잘먹었습니다~,4,4,4,4,2020년 7월 2일,10:30 - 01:00,서울 성북구 동선동1가 78
26,생쿡쌀국수-성신여대점,wh**님,"소고기 쌀국수/1,볶음밥/1",배달도 빠르고 맛있게 잘 먹었습니다^^ 감사합니다,5,5,5,5,2020년 5월 29일,10:30 - 01:00,서울 성북구 동선동1가 78
27,생쿡쌀국수-성신여대점,mk**님,"매운 소고기 쌀국수/2,연불고기/1",너무 맛있게 먹었어요ㅜ.ㅜ 함께주신 붕어빵이랑 호떡도 잘 먹었습니다 감사해요~!!,5,5,5,5,2020년 5월 27일,10:30 - 01:00,서울 성북구 동선동1가 78
28,생쿡쌀국수-성신여대점,dl**님,"소고기 쌀국수/1(추가 선택(고기 추가,숙주 추가,해선장 소스)),사이다 500mL/1",쌀국수는 처음인데 진한 국물인줄 몰랐네요. 고기추가해서 정신없이 먹었습니다. 붕어빵 감사합니다~,5,5,5,5,2020년 5월 24일,10:30 - 01:00,서울 성북구 동선동1가 78
29,생쿡쌀국수-성신여대점,am**님,"소고기 쌀국수/1,락사/1,연불고기/1",맛있어요!!!!!!!,5,5,5,5,2020년 5월 23일,10:30 - 01:00,서울 성북구 동선동1가 78
30,생쿡쌀국수-성신여대점,83**님,"매운 소고기 쌀국수/1,연불고기/1",너무 너무 맛있어요~~~~,5,5,5,5,2020년 5월 21일,10:30 - 01:00,서울 성북구 동선동1가 78
31,생쿡쌀국수-성신여대점,am**님,"소고기 쌀국수/1(추가 선택(고기 추가)),락사/1",맛있어요! !！！,5,5,5,5,2020년 5월 9일,10:30 - 01:00,서울 성북구 동선동1가 78
32,생쿡쌀국수-성신여대점,gl**님,"락사/1,짜조/1",너무 맛잇습니다ㅠㅠ 호떡 서비스도 너무 감사드리고 또 시켜먹을거에요!!,5,5,5,5,2020년 4월 22일,10:30 - 01:00,서울 성북구 동선동1가 78
33,생쿡쌀국수-성신여대점,am**님,"소고기 쌀국수/1(추가 선택(고기 추가)),연불고기/1",맛있다!!!!!!!!!!!,5,5,5,5,2020년 4월 16일,10:30 - 01:00,서울 성북구 동선동1가 78
34,생쿡쌀국수-성신여대점,gb**님,"매운 소고기 쌀국수/1(추가 선택(면 추가,고기 추가))",국물 맛있어요 면이 생면인가 되게 미끌거려요,5,5,5,5,2020년 4월 7일,10:30 - 01:00,서울 성북구 동선동1가 78
35,생쿡쌀국수-성신여대점,jc**님,비빔쌀냉면/2,중국코로나때문에 짜증이 나서 시원한 게 먹고 싶어 냉면을 주문해 보았는데 냉면도 맛있네요.. 날씨 따뜻해지면 냉면 단골이 될듯요~,5,5,5,5,2020년 2월 28일,10:30 - 01:00,서울 성북구 동선동1가 78
36,생쿡쌀국수-성신여대점,손님,"소고기 쌀국수/1,짜조/1",진한육수가 제대로네요! 비오는날 맛있게 먹었습니다~ 자주 주문할듯요^^,5,5,5,5,2020년 2월 28일,10:30 - 01:00,서울 성북구 동선동1가 78
37,생쿡쌀국수-성신여대점,ju**님,"분짜/1,짜조/1,연불고기/1","분짜/짜조/연불고기 먹었어요 별점가지고 갑질하는거 같아서 조심스럽네요. 궁금한게 있어요~다른 리뷰를 보니 쌀국수류는 면이 쌀국수 면이던데.. 분짜는 원래 소면으로 주시는건가요? 아님, 이것도 쌀국수 면의 일종인가요? 베트남에서 먹었을때 기억으로 시킨건데 아무리봐도 소면같아서요.. 그리고 소스는 추가를 하거나 따로 언질을 해야 주시는건가요? 아님 원래 제공이 안되는건가요? 궁금하네요~ 그래도 한끼 식사를 해결해 주신점은 감사드립니다",3,3,4,4,2020년 2월 25일,10:30 - 01:00,서울 성북구 동선동1가 78
38,생쿡쌀국수-성신여대점,mh**님,"소고기 쌀국수/1(추가 선택(숙주 추가,해선장 소스)),볶음밥/1,짜조/1",볶음밥은 괜찮은데 쌀국수는 그냥 그렇고 기본 소스가 전혀 없는 걸 몰랐네요 ㅠㅠ 쌀국수에는 해선장과 칠리소스가 2:1 비율로 섞어 먹어야하는데 ㅠㅠ,4,4,5,5,2020년 2월 21일,10:30 - 01:00,서울 성북구 동선동1가 78
39,생쿡쌀국수-성신여대점,yo**님,"소고기 쌀국수/1,매운 소고기 쌀국수/1,얼큰해물쌀짬뽕/1",앗~! 맛있네요~맛있어요~,4,3,4,4,2020년 1월 26일,10:30 - 01:00,서울 성북구 동선동1가 78
40,생쿡쌀국수-성신여대점,손님,"소고기 쌀국수/1,짜조/1",언제나 맛있어요. 완전,5,5,5,5,2019년 12월 22일,10:30 - 01:00,서울 성북구 동선동1가 78
41,생쿡쌀국수-성신여대점,11**님,"소고기 쌀국수/1,연불고기/1",잘먹었습니당~~~~~,5,5,5,5,2019년 11월 6일,10:30 - 01:00,서울 성북구 동선동1가 78
42,생쿡쌀국수-성신여대점,ja**님,"매운 소고기 쌀국수/1,볶음밥/1,짜조/1",태풍오는데도 배달해주셔서 감사합니다,5,5,5,5,2019년 9월 7일,10:30 - 01:00,서울 성북구 동선동1가 78
43,생쿡쌀국수-성신여대점,손님,"매운 소고기 쌀국수/1,콜라 355mL/1,사이다 355mL/1",해물쌀국수가 아주 시원하고 매콤하고 맛있네욤^^& 주님안에서 번창하세욤^^&,5,5,5,5,2019년 9월 5일,10:30 - 01:00,서울 성북구 동선동1가 78
